AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2110,Electricians,broad,757220,0.8,,,,,34.37,71490,0.4,20.5,23.76,30.38,40.36,52.17,42640,49430,63190,83940,108510,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-2111,Electricians,detailed,757220,0.8,,,,,34.37,71490,0.4,20.5,23.76,30.38,40.36,52.17,42640,49430,63190,83940,108510,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-3013,Helpers--Electricians,detailed,63630,3.5,,,,,21.19,44080,0.6,15.88,17.71,20.51,23.3,28.05,33020,36830,42670,48470,58340,,
