field,DEBT_ALL_STGP_ANY_MDN,EARN_MDN_1YR,EARN_MDN_4YR
Computer Science.,20350.575654021766,87315.84195554563,127019.83935537143
Finance and Financial Management Services.,21726.37954102227,60520.040234287,90415.96812749004
"Psychology, General.",22936.403136556266,32011.898606811144,51921.001223369065
